JupiterExpress_OH.EarthMJ2000Eq.X   JupiterExpress_OH.EarthMJ2000Eq.Y   JupiterExpress_OH.EarthMJ2000Eq.Z   JupiterExpress.ElapsedSecs   
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9564819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9651219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9737619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9824019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9910419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9996819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  10083219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  10169619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  10256019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  10342419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  10428819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  10515219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  10601619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  10688019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  10774419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  10860819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  10947219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11033619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11120019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11206419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11292819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11379219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11465619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11552019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11638419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11724819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11811219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11897619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  11984019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  12070419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  12156819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  12243219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  12329619.46129217            
