JupiterExpress.SunICRF.X   JupiterExpress.SunICRF.Y   JupiterExpress.SunICRF.Z   JupiterExpress.ElapsedDays   
-210139030.9394066         -61425519.66992362         -26617714.54559973         80.70392895014083            
-210736669.0565766         -63768357.54979776         -27633210.32829136         81.70392895014083            
-211315199.3693486         -66105414.06424272         -28646200.7384758          82.70392895014083            
-211874917.0159324         -68436586.00755304         -29656641.18731231         83.70392895014083            
-212416112.8718322         -70761775.86649947         -30664489.47488549         84.70392895014083            
-212939073.5494897         -73080891.63054959         -31669705.59099443         85.70392895014083            
-213444081.3833144         -75393846.55001691         -32672251.79745925         86.70392895014083            
-213931414.4373295         -77700558.84664826         -33672092.71416044         87.70392895014083            
-214401346.5193472         -80000951.54979527         -34669195.12911214         88.70392895014083            
-214854147.2140921         -82294952.35444367         -35663527.69493321         89.70392895014083            
-215290081.8911673         -84582493.46724503         -36655060.86034831         90.70392895014083            
-215709411.705809          -86863511.40250646         -37643766.98653301         91.70392895014083            
-216112393.6401736         -89137946.73781386         -38629620.34800495         92.70392895014083            
-216499280.5410577         -91405743.97107112         -39612596.96634025         93.70392895014083            
-216870321.1641046         -93666851.37627041         -40592674.44977622         94.70392895014083            
-217225760.2044603         -95921220.86715946         -41569831.92224909         95.70392895014083            
-217565838.3434461         -98168807.82099217         -42544049.98531801         96.70392895014083            
-217890792.2888776         -100409570.9250558         -43515310.68956327         97.70392895014083            
-218200854.7946292         -102643472.0753686         -44483597.50987829         98.70392895014083            
-218496254.7110711         -104870476.22727           -45448895.29106954         99.70392895014083            
-218777217.049041          -107090551.2411454         -46411190.16552143         100.7039289501408            
-219043963.0301957         -109303667.7681781         -47370469.4705855          101.7039289501408            
-219296710.142422          -111509799.1386323         -48326721.65583381         102.7039289501408            
-219535672.1768633         -113708921.2914768         -49279936.1960902          103.7039289501408            
-219761059.284287          -115901012.6350031         -50230103.58756831         104.7039289501408            
-219973078.0084509         -118086053.9207762         -51177215.42898842         105.7039289501408            
-220171931.3397815         -120264028.1125291         -52121264.4336274          106.7039289501408            
-220357818.7793708         -122434920.3224697         -53062244.25660418         107.7039289501408            
-220530936.4289268         -124598717.7252369         -54000149.28449545         108.7039289501408            
-220691477.0176121         -126755409.5018592         -54934974.63483146         109.7039289501408            
-220839629.9439044         -128904986.6660423         -55866716.36639491         110.7039289501408            
-220975581.2905085         -131047441.9980777         -56795371.55090142         111.7039289501408            
-221099513.9168387         -133182769.9917767         -57720938.01249055         112.7039289501408            
-221211607.5273158         -135310966.8666344         -58643414.0310179          113.7039289501408            
-221312038.7414645         -137432030.4204459         -59562798.4195398          114.7039289501408            
-221400981.1128547         -139545959.8814736         -60479090.80244411         115.7039289501408            
-221478605.1971402         -141652755.8113555         -61392291.59444861         116.7039289501408            
-221545078.5981768         -143752420.1678154         -62302401.69994837         117.7039289501408            
-221600565.9957414         -145844956.3143413         -63209422.4029453          118.7039289501408            
-221645229.191072          -147930368.8664141         -64113355.57076728         119.7039289501408            
-221679227.1828213         -150008663.539507          -65014203.75378647         120.7039289501408            
-221702716.240895          -152079847.1189329         -65911970.0232025          121.7039289501408            
-221715849.9168071         -154143927.519632          -66806657.82265204         122.7039289501408            
-221718779.0872954         -156200913.7226754         -67698270.98862447         123.7039289501408            
-221711652.064926          -158250815.6139691         -68586813.78260897         124.7039289501408            
-221694614.6307985         -160293643.9723967         -69472290.84629865         125.7039289501408            
-221667810.046054          -162329410.4702064         -70354707.19423991         126.7039289501408            
-221631379.0595102         -164358127.6515962         -71234068.26303513         127.7039289501408            
-221585459.9661301         -166379808.8603979         -72110379.91579732         128.7039289501408            
-221530188.7215662         -168394468.134226          -72983648.35990968         129.7039289501408            
-221465698.9897477         -170402120.2098719         -73853880.02703543         130.7039289501408            
-221392122.1696536         -172402780.5395812         -74721081.4921467          131.7039289501408            
-221309587.3925878         -174396465.2878175         -75585259.52200639         132.7039289501408            
-221218221.5524537         -176383191.2308997         -76446421.24459165         133.7039289501408            
-221118149.3822357         -178362975.6248167         -77304574.25947085         134.7039289501408            
-221009493.4844778         -180335836.2361133         -78159726.51093708         135.7039289501408            
-220892374.4062865         -182301791.3772106         -79011886.02599978         136.7039289501408            
-220766910.7054454         -184260859.8860564         -79861060.81349112         137.7039289501408            
-220633218.931585          -186213061.0855828         -80707259.04796191         138.7039289501408            
-220491413.6387443         -188158414.6853216         -81550489.29255973         139.7039289501408            
-220341607.4135581         -190096940.7845908         -82390760.44249244         140.7039289501408            
-220183910.9590374         -192028659.8970607         -83228081.47187424         141.7039289501408            
-220018433.1583401         -193953592.9273348         -84062461.35297133         142.7039289501408            
-219845281.1213908         -195871761.0563936         -84893909.23559612         143.7039289501408            
-219664560.1897281         -197783185.7240122         -85722434.51218976         144.7039289501408            
-219476373.9485076         -199687888.7104193         -86548046.6314486          145.7039289501408            
-219280824.2152866         -201585892.2024758         -87370755.00310074         146.7039289501408            
-219078011.1071726         -203477218.6458502         -88190569.19564568         147.7039289501408            
-218868033.1058317         -205361890.6168275         -89007499.10022578         148.7039289501408            
-218650987.1000137         -207239930.8547375         -89821554.78418767         149.7039289501408            
-218426968.374176          -209111362.374405          -90632746.29191616         150.7039289501408            
-218196070.6263665         -210976208.4579635         -91441083.64843652         151.7039289501408            
-217958386.0571713         -212834492.5381916         -92246576.94417188         152.7039289501408            
-217714005.4450442         -214686238.1397427         -93049236.32672279         153.7039289501408            
-217463018.1090993         -216531468.9375754         -93849071.98943679         154.7039289501408            
-217205511.8528724         -218370208.7926098         -94646094.24729949         155.7039289501408            
-216941572.9854473         -220202481.7195103         -95440313.58276564         156.7039289501408            
-216671286.4775663         -222028311.7751192         -96231740.57059607         157.7039289501408            
-216394736.0003885         -223847723.0930963         -97020385.74415714         158.7039289501408            
-216112003.9140877         -225660739.9427617         -97806259.51819843         159.7039289501408            
-215823171.2454931         -227467386.7420664         -98589372.2367501          160.7039289501408            
-215528317.7048872         -229267687.9806124         -99369734.33790773         161.7039289501408            
-215227521.727136          -231061668.129138          -100147356.4968572         162.7039289501408            
-214920860.4889946         -232849351.6528431         -100922249.5822929         163.7039289501408            
-214608409.9692611         -234630763.0631678         -101694424.4331128         164.7039289501408            
-214290245.0006866         -236405926.9600105         -102463891.6787699         165.7039289501408            
-213966439.2497886         -238174868.0425086         -103230661.7848488         166.7039289501408            
-213637065.2564888         -239937610.9917429         -103994745.2664097         167.7039289501408            
-213302194.3778939         -241694180.4731019         -104756152.8223958         168.7039289501408            
-212961896.8332543         -243444601.1322151         -105514895.2722963         169.7039289501408            
-212616241.776413          -245188897.5957723         -106270983.4293041         170.7039289501408            
-212265297.3441912         -246927094.4552371         -107024428.0662042         171.7039289501408            
-211909130.6813762         -248659216.2621172         -107775239.9034184         172.7039289501408            
-211547807.8659556         -250385287.6408815         -108523429.5204205         173.7039289501408            
-211181393.9406807         -252105333.2774567         -109269007.3391096         174.7039289501408            
-210809952.9295128         -253819377.8354679         -110011983.8042249         175.7039289501408            
-210433547.8956771         -255527445.8334836         -110752369.5745346         176.7039289501408            
-210052240.9944525         -257229561.6345252         -111490175.4688042         177.7039289501408            
-209666093.424968          -258925749.5851818         -112225412.2585184         178.7039289501408            
-209275165.4264967         -260616034.0734031         -112958090.5594574         179.7039289501408            
-208879516.3494995         -262300439.4714417         -113688220.8490113         180.7039289501408            
