SC_PO.EarthMJ2000Eq.X     SC_PO.EarthMJ2000Eq.Y     SC_PO.EarthMJ2000Eq.Z     SC_PO.ElapsedSecs         
4745.185555767914         2441.479622938738         5265.823381837713         7369.21159371268          
4121.98204341516          2636.581867092395         5679.433433560605         7475.312684441451         
3454.831294137642         2803.727639810955         6032.681499339293         7581.441451481078         
2750.816814791465         2941.121664453649         6321.763636599951         7687.594979500864         
2017.427137239918         3047.284398230841         6543.558530944487         7793.769566423725         
1262.468121801382         3121.069695072047         6695.664859403026         7899.961888301186         
494.0045748247026         3161.675791111298         6776.424526228918         8006.165492115542         
-279.7463841603121        3168.658736414011         6784.950708102282         8112.373682192992         
-1050.501840388849        3141.938015178901         6721.139254585312         8218.579055322334         
-1810.027425964005        3081.796407825405         6585.667450030909         8324.776775669307         
-2550.182880483278        2988.87959199436          6379.992746573502         8430.95834775595          
-3263.054404991223        2864.187088394213         6106.332146805154         8537.117549905088         
-3941.027178962407        2709.061297420914         5767.637947402497         8643.248480733018         
-4576.879210406431        2525.169247526053         5367.557620385613         8749.347350466996         
-5163.838566645827        2314.488932745462         4910.403818272964         8855.40912336437          
-5695.679772279126        2079.280158079051         4401.090764142791         8961.431494820863         
-6166.783493707323        1822.057870825718         3845.076262535633         9067.414535558783         
-6572.181044702398        1545.570095272953         3248.313695570816         9173.358004179318         
-6907.616830862708        1252.760943912472         2617.171821187758         9279.264114762191         
-7169.58275302925         946.7416608734982         1958.372034145386         9385.136098845396         
-7355.352451470306        630.7557427846986         1278.912909485867         9490.978661191184         
-7463.004631057243        308.1437639954423         585.9942007760084         9596.798123116605         
-7491.437173293569        -17.68211579116547        -113.038319061655         9702.599273622036         
-7440.378768492888        -343.2920010112817        -810.8088150771047        9808.391366328578         
-7310.384254678263        -665.2548715816488        -1499.947331725147        9914.182010956574         
-7102.829193369284        -980.1804668155247        -2173.179925629277        10019.97941569425         
-6819.896600921811        -1284.750235564449        -2823.395269849344        10125.79118303256         
-6464.556802034314        -1575.750885025668        -3443.71675563672         10231.62411614321         
-6040.540490466557        -1850.106792263574        -4027.572075754712        10337.48387249652         
-5552.296132429787        -2104.915749439424        -4568.769776530308        10443.37643174222         
-5004.951419444104        -2337.474904725344        -5061.554806231231        10549.30650304304         
-4404.271970668383        -2545.30705245211         -5500.664762076086        10655.27610811405         
-3756.596182201051        -2726.19220280297         -5881.397170993669        10761.28639297094         
-3068.77220381705         -2878.191445834151        -6199.660229737992        10867.33736515744         
-2348.099317454766        -2999.667116942851        -6452.0156246149          10973.42624670127         
-1602.237962464871        -3089.305758316953        -6635.726951000961        11079.54976268811         
-839.1334317163431        -3146.132654999899        -6748.790165249159        11185.70341737941         
-66.93307129781526        -3169.52425483962         -6789.95937434413         11291.88124684151         
706.1108522604325         -3159.217039616625        -6758.764793823321        11398.07708974695         
1471.726013119069         -3115.311302731594        -6655.519868711934        11504.28387355059         
2221.721756573777         -3038.27036563228         -6481.31835899766         11610.49515089253         
2948.073321827473         -2928.915719887712        -6238.022840029308        11716.70432919636         
